topic,year,pubs,cites
Aeolian processes and effects,2020,4,19
Aeolian processes and effects,2023,3,13
Aeolian processes and effects,2024,1,4
Aeolian processes and effects,2025,5,5
African history and culture analysis,1994,1,0
African history and culture analysis,2005,1,11
African Studies and Geopolitics,1968,1,18
"Aging, Elder Care, and Social Issues",1988,1,4
"Aging, Elder Care, and Social Issues",1990,1,0
"Aging, Elder Care, and Social Issues",1991,2,0
"Aging, Elder Care, and Social Issues",1992,1,2
"Aging, Elder Care, and Social Issues",1995,1,4
"Aging, Elder Care, and Social Issues",1996,1,0
"Aging, Elder Care, and Social Issues",1997,3,14
"Aging, Elder Care, and Social Issues",1998,1,0
"Aging, Elder Care, and Social Issues",2001,2,0
"Aging, Elder Care, and Social Issues",2003,1,0
"Aging, Elder Care, and Social Issues",2005,1,0
"Aging, Elder Care, and Social Issues",2007,1,0
"Aging, Elder Care, and Social Issues",2010,1,0
"Aging, Elder Care, and Social Issues",2011,2,0
Agricultural and Environmental Management,2022,1,1
Agronomic Practices and Intercropping Systems,1960,1,5
AI in cancer detection,2024,1,2
Air Quality and Health Impacts,2000,2,30
Air Quality and Health Impacts,2002,2,0
Air Quality and Health Impacts,2020,1,32
Air Quality and Health Impacts,2021,1,3
Air Quality Monitoring and Forecasting,2000,1,13
Air Quality Monitoring and Forecasting,2020,1,32
Algal biology and biofuel production,2024,1,0
Alkaloids: synthesis and pharmacology,1991,1,18
Aluminum toxicity and tolerance in plants and animals,2026,1,0
Ammonia Synthesis and Nitrogen Reduction,2025,1,9
Anaerobic Digestion and Biogas Production,2024,1,7
Analytical Chemistry and Chromatography,2021,1,0
Analytical Chemistry and Sensors,2023,1,17
Analytical chemistry methods development,2018,1,3
Analytical chemistry methods development,2022,1,201
Ancient and Medieval Archaeology Studies,1962,1,0
Ancient and Medieval Archaeology Studies,1993,1,2
Ancient and Medieval Archaeology Studies,1998,1,0
Ancient and Medieval Archaeology Studies,2005,1,0
Ancient and Medieval Archaeology Studies,2016,1,0
Ancient and Medieval Archaeology Studies,2018,1,0
Ancient and Medieval Archaeology Studies,2024,1,1
Ancient Egypt and Archaeology,2008,1,1
Ancient Egypt and Archaeology,2010,1,28
Ancient Egypt and Archaeology,2011,1,0
Ancient Mediterranean Archaeology and History,1962,1,0
Ancient Mediterranean Archaeology and History,2010,1,28
Ancient Near East History,2006,1,2
Ancient Near East History,2008,1,1
Ancient Near East History,2011,1,0
Animal Behavior and Reproduction,2020,1,9
Animal Behavior and Welfare Studies,1996,1,28
Animal Behavior and Welfare Studies,2000,1,104
Animal Diversity and Health Studies,1982,1,23
Animal Ecology and Behavior Studies,1984,1,21
Animal Ecology and Behavior Studies,2014,1,2
Animal Ecology and Behavior Studies,2017,1,1
Animal Genetics and Reproduction,1996,1,22
Anomaly Detection Techniques and Applications,2018,1,3
Anomaly Detection Techniques and Applications,2024,2,18
Antimicrobial Peptides and Activities,2007,1,6
Aquatic and Environmental Studies,2023,1,0
Aquatic Invertebrate Ecology and Behavior,1987,1,46
Aquatic Invertebrate Ecology and Behavior,1998,1,9
Aquatic Invertebrate Ecology and Behavior,2008,1,6
Aquatic Invertebrate Ecology and Behavior,2009,1,9
Aquatic Invertebrate Ecology and Behavior,2010,1,14
Aquatic Invertebrate Ecology and Behavior,2013,1,0
Aquatic Invertebrate Ecology and Behavior,2018,1,0
Aquatic Invertebrate Ecology and Behavior,2022,1,0
Aquatic Invertebrate Ecology and Behavior,2025,1,0
Archaeological and Geological Studies,1966,1,3
Archaeological and Geological Studies,1982,1,5
Archaeological and Geological Studies,1998,1,9
Archaeological and Geological Studies,2000,1,31
Archaeological and Geological Studies,2005,3,6
Archaeological and Geological Studies,2008,1,14
Archaeological and Geological Studies,2013,1,0
Archaeological and Geological Studies,2014,1,0
Archaeological and Geological Studies,2015,1,0
Archaeological and Historical Studies,1998,1,9
Archaeological and Historical Studies,2000,1,31
Archaeological and Historical Studies,2005,4,6
Archaeological and Historical Studies,2008,1,14
Archaeological and Historical Studies,2011,1,0
Archaeological and Historical Studies,2013,1,0
Archaeological and Historical Studies,2021,1,0
Archaeological Research and Protection,2008,1,0
Archaeology and ancient environmental studies,1994,1,22
Archaeology and ancient environmental studies,2002,2,258
Archaeology and ancient environmental studies,2006,1,57
Archaeology and ancient environmental studies,2007,2,97
Archaeology and ancient environmental studies,2014,1,0
Archaeology and ancient environmental studies,2018,3,5
Archaeology and ancient environmental studies,2022,1,0
Archaeology and Historical Studies,1970,1,106
Archaeology and Historical Studies,1977,1,57
Archaeology and Historical Studies,1994,1,0
Archaeology and Historical Studies,1995,1,0
Archaeology and Historical Studies,2005,1,11
Archaeology and Historical Studies,2006,1,2
Archaeology and Historical Studies,2007,1,0
Archaeology and Historical Studies,2008,1,1
Archaeology and Historical Studies,2010,2,39
Archaeology and Historical Studies,2011,1,0
Archaeology and Historical Studies,2023,3,1
Archaeology and Historical Studies,2024,1,16
Archaeology and Rock Art Studies,2011,1,0
Archaeology and Rock Art Studies,2013,1,0
Arctic and Antarctic ice dynamics,1967,1,4
Arctic and Antarctic ice dynamics,1995,1,5
Arsenic contamination and mitigation,2015,2,43
Arsenic contamination and mitigation,2025,1,16
Art Education and Development,1969,1,0
Asian American and Pacific Histories,2008,1,0
Asian Geopolitics and Ethnography,1968,1,18
Asphalt Pavement Performance Evaluation,2025,1,3
Asthma and respiratory diseases,2006,1,82
Astro and Planetary Science,1986,1,22
Astro and Planetary Science,1996,1,8
Astro and Planetary Science,2000,1,12
Astro and Planetary Science,2007,1,0
Astro and Planetary Science,2008,2,32
Astro and Planetary Science,2009,1,25
Astro and Planetary Science,2010,1,2
Astro and Planetary Science,2012,4,4
Astro and Planetary Science,2014,1,14
Astro and Planetary Science,2015,17,16
Astro and Planetary Science,2021,2,6
Astro and Planetary Science,2022,1,2
Astro and Planetary Science,2023,1,26
Astro and Planetary Science,2025,5,6
Astronomical Observations and Instrumentation,2003,1,0
Astronomical Observations and Instrumentation,2015,20,0
Astronomy and Astrophysical Research,2015,6,0
Astrophysics and Cosmic Phenomena,2015,2,0
Astrophysics and Star Formation Studies,2008,1,0
Astrophysics and Star Formation Studies,2021,1,6
Astrophysics and Star Formation Studies,2025,1,0
Asymmetric Hydrogenation and Catalysis,2024,2,30
Atmospheric and Environmental Gas Dynamics,1988,1,1
Atmospheric and Environmental Gas Dynamics,1989,5,0
Atmospheric and Environmental Gas Dynamics,2001,1,7
Atmospheric and Environmental Gas Dynamics,2002,1,1
Atmospheric and Environmental Gas Dynamics,2005,1,89
Atmospheric and Environmental Gas Dynamics,2009,1,0
Atmospheric and Environmental Gas Dynamics,2010,1,75
Atmospheric and Environmental Gas Dynamics,2011,2,230
Atmospheric and Environmental Gas Dynamics,2012,6,558
Atmospheric and Environmental Gas Dynamics,2013,7,219
Atmospheric and Environmental Gas Dynamics,2014,5,135
Atmospheric and Environmental Gas Dynamics,2015,14,145
Atmospheric and Environmental Gas Dynamics,2016,8,345
Atmospheric and Environmental Gas Dynamics,2017,8,125
Atmospheric and Environmental Gas Dynamics,2018,7,62
Atmospheric and Environmental Gas Dynamics,2019,5,87
Atmospheric and Environmental Gas Dynamics,2020,7,88
Atmospheric and Environmental Gas Dynamics,2021,9,277
Atmospheric and Environmental Gas Dynamics,2022,9,96
Atmospheric and Environmental Gas Dynamics,2023,6,32
Atmospheric and Environmental Gas Dynamics,2024,9,46
Atmospheric and Environmental Gas Dynamics,2025,4,4
Atmospheric chemistry and aerosols,2000,1,13
Atmospheric chemistry and aerosols,2002,2,0
Atmospheric chemistry and aerosols,2009,1,58
Atmospheric chemistry and aerosols,2021,1,3
Atmospheric chemistry and aerosols,2024,1,27
Automated Road and Building Extraction,2023,1,30
Bacterial biofilms and quorum sensing,2005,1,27
Bacterial biofilms and quorum sensing,2007,1,6
Bacteriophages and microbial interactions,2026,1,0
Bauxite Residue and Utilization,2025,2,3
Bee Products Chemical Analysis,2018,1,0
Big Data Technologies and Applications,2019,1,4
Biocrusts and Microbial Ecology,2006,1,32
Biocrusts and Microbial Ecology,2026,1,0
Biometric Identification and Security,2020,1,2
Biotechnology and Related Fields,2011,1,0
"Birth, Development, and Health",1997,1,14
Blind Source Separation Techniques,2019,1,0
Botanical Research and Applications,1996,1,8
Botany and Geology in Latin America and Caribbean,2020,1,0
Botany and Plant Ecology Studies,1992,1,0
Botany and Plant Ecology Studies,1993,1,2
Botany and Plant Ecology Studies,1994,1,1
Botany and Plant Ecology Studies,1997,1,0
Botany and Plant Ecology Studies,2004,1,3
Botany and Plant Ecology Studies,2005,3,1
Botany and Plant Ecology Studies,2009,2,271
Botany and Plant Ecology Studies,2011,2,0
Botany and Plant Ecology Studies,2015,1,3
Bryophyte Studies and Records,2009,2,44
Building materials and conservation,2016,1,0
Building materials and conservation,2017,2,8
Building materials and conservation,2021,1,22
Building materials and conservation,2025,2,0
Building materials and conservation,2026,3,1
Calcium Carbonate Crystallization and Inhibition,1994,1,29
Calcium Carbonate Crystallization and Inhibition,1995,1,7
Calcium Carbonate Crystallization and Inhibition,2006,1,33
Calcium Carbonate Crystallization and Inhibition,2020,1,1
Calcium Carbonate Crystallization and Inhibition,2021,1,14
Calcium Carbonate Crystallization and Inhibition,2023,1,8
Calcium Carbonate Crystallization and Inhibition,2024,2,0
Calcium Carbonate Crystallization and Inhibition,2025,8,19
Calcium Carbonate Crystallization and Inhibition,2026,4,0
"Cancer, Hypoxia, and Metabolism",2014,5,0
"Cancer, Stress, Anesthesia, and Immune Response",1991,1,41
Carbon Dioxide Capture Technologies,2009,1,40
Carbon Dioxide Capture Technologies,2013,2,3
Carbon Dioxide Capture Technologies,2018,2,8
Carbon Dioxide Capture Technologies,2021,2,0
Carbon Dioxide Capture Technologies,2022,1,83
Carbon Dioxide Capture Technologies,2024,1,12
Carbon Dioxide Capture Technologies,2025,5,14
Carbon Dioxide Capture Technologies,2026,1,0
Carcinogens and Genotoxicity Assessment,1985,1,2
Cassava research and cyanide,2010,1,0
Catalysis and Hydrodesulfurization Studies,2022,1,45
Catalysis and Hydrodesulfurization Studies,2024,2,30
Catalysis and Oxidation Reactions,2022,1,45
Catalysts for Methane Reforming,2024,2,30
Cell Image Analysis Techniques,2022,1,1
Cephalopods and Marine Biology,1988,1,14
Cephalopods and Marine Biology,2006,1,14
Cephalopods and Marine Biology,2008,1,14
Cephalopods and Marine Biology,2009,1,3
Cephalopods and Marine Biology,2010,1,133
Cephalopods and Marine Biology,2015,1,0
Cephalopods and Marine Biology,2017,2,11
Cephalopods and Marine Biology,2022,1,28
Chalcogenide Semiconductor Thin Films,1988,1,221
Chemical Looping and Thermochemical Processes,2024,1,12
Chemical Looping and Thermochemical Processes,2025,3,1
Chemical Reactions and Isotopes,1985,1,2
Chemical synthesis and alkaloids,1991,1,18
Classical Antiquity Studies,2003,1,1
Clay minerals and soil interactions,1962,1,14
Clay minerals and soil interactions,1982,1,0
Clay minerals and soil interactions,1998,1,14
Clay minerals and soil interactions,2001,1,0
Clay minerals and soil interactions,2007,1,0
Clay minerals and soil interactions,2009,1,33
Clay minerals and soil interactions,2013,1,41
Clay minerals and soil interactions,2014,1,0
Clay minerals and soil interactions,2016,1,18
Clay minerals and soil interactions,2017,2,8
Clay minerals and soil interactions,2019,1,0
Clay minerals and soil interactions,2020,4,0
Clay minerals and soil interactions,2021,1,1
Clay minerals and soil interactions,2024,2,12
Clay minerals and soil interactions,2025,6,32
Clay minerals and soil interactions,2026,6,5
Climate change and permafrost,1967,1,4
Climate change and permafrost,2025,2,2
Climate Change Communication and Perception,2013,1,35
Climate change impacts on agriculture,2003,1,0
Climate Change Policy and Economics,2013,1,1
Climate variability and models,2020,1,1
Climate variability and models,2021,1,48
Climate variability and models,2024,1,1
CO2 Reduction Techniques and Catalysts,2024,1,4
CO2 Sequestration and Geologic Interactions,2005,1,5
CO2 Sequestration and Geologic Interactions,2008,1,0
CO2 Sequestration and Geologic Interactions,2009,2,210
CO2 Sequestration and Geologic Interactions,2011,3,9
CO2 Sequestration and Geologic Interactions,2012,2,13
CO2 Sequestration and Geologic Interactions,2013,3,45
CO2 Sequestration and Geologic Interactions,2014,1,7
CO2 Sequestration and Geologic Interactions,2015,3,17
CO2 Sequestration and Geologic Interactions,2016,1,28
CO2 Sequestration and Geologic Interactions,2017,3,27
CO2 Sequestration and Geologic Interactions,2018,6,78
CO2 Sequestration and Geologic Interactions,2019,2,61
CO2 Sequestration and Geologic Interactions,2020,6,104
CO2 Sequestration and Geologic Interactions,2021,7,16
CO2 Sequestration and Geologic Interactions,2022,9,269
CO2 Sequestration and Geologic Interactions,2023,17,602
CO2 Sequestration and Geologic Interactions,2024,17,195
CO2 Sequestration and Geologic Interactions,2025,19,39
CO2 Sequestration and Geologic Interactions,2026,14,5
Coal and Coke Industries Research,2014,1,2
Coal and Its By-products,2012,2,85
Coal and Its By-products,2013,3,123
Coal and Its By-products,2014,3,35
Coal and Its By-products,2015,2,57
Coal and Its By-products,2018,1,11
Coal and Its By-products,2020,1,30
Coal and Its By-products,2022,1,5
Coal and Its By-products,2024,1,10
Coal and Its By-products,2025,3,4
Coal and Its By-products,2026,2,1
Coal Properties and Utilization,2012,2,85
Coal Properties and Utilization,2013,3,123
Coal Properties and Utilization,2014,2,17
Coal Properties and Utilization,2015,2,26
Coal Properties and Utilization,2016,1,42
Coal Properties and Utilization,2017,1,32
Coal Properties and Utilization,2018,1,11
Coal Properties and Utilization,2021,1,0
Coal Properties and Utilization,2022,2,11
Coal Properties and Utilization,2023,2,2
Coal Properties and Utilization,2024,2,19
Coal Properties and Utilization,2025,3,1
Coal Properties and Utilization,2026,1,1
Coastal and Marine Dynamics,1962,1,0
Coastal and Marine Dynamics,1991,2,28
Coastal and Marine Dynamics,2004,1,64
Coastal and Marine Dynamics,2014,1,10
Coastal and Marine Dynamics,2022,1,26
Coastal and Marine Dynamics,2023,2,28
Coastal and Marine Dynamics,2025,4,5
Coastal and Marine Management,2025,1,2
Coastal Management and Development,2022,1,1
Coastal wetland ecosystem dynamics,1999,1,6
Coastal wetland ecosystem dynamics,2019,1,11
Coastal wetland ecosystem dynamics,2020,1,15
Coastal wetland ecosystem dynamics,2023,1,16
Coastal wetland ecosystem dynamics,2024,3,14
Coastal wetland ecosystem dynamics,2025,3,12
Complex Systems and Time Series Analysis,2005,1,0
Complex Systems and Time Series Analysis,2023,1,0
Composite Material Mechanics,2016,1,2
Concrete and Cement Materials Research,2014,1,7
Concrete and Cement Materials Research,2016,1,28
Concrete and Cement Materials Research,2017,2,4
Concrete and Cement Materials Research,2021,1,22
Concrete and Cement Materials Research,2022,3,32
Concrete and Cement Materials Research,2023,1,26
Concrete and Cement Materials Research,2026,2,0
Concrete Corrosion and Durability,2022,1,23
Connective Tissue Growth Factor Research,2006,1,82
Copper-based nanomaterials and applications,2024,2,14
Copper-based nanomaterials and applications,2025,1,3
Coral and Marine Ecosystems Studies,1965,1,13
Coral and Marine Ecosystems Studies,2004,1,0
Coral and Marine Ecosystems Studies,2015,1,63
Coral and Marine Ecosystems Studies,2018,1,2
Coral and Marine Ecosystems Studies,2019,1,129
Coral and Marine Ecosystems Studies,2021,2,0
Coral and Marine Ecosystems Studies,2022,1,0
Coral and Marine Ecosystems Studies,2024,2,10
Corporate Governance and Law,2005,1,11
Covalent Organic Framework Applications,2024,2,14
COVID-19 diagnosis using AI,2022,1,29
"Crafts, Textile, and Design",2011,1,0
"Crime, Deviance, and Social Control",2015,1,0
Crop Yield and Soil Fertility,1960,1,5
Crustacean biology and ecology,2008,1,2
Cryospheric studies and observations,2005,1,283
Crystal Structures and Properties,1988,2,372
Crystal Structures and Properties,2007,1,0
Crystal Structures and Properties,2020,4,0
Crystal Structures and Properties,2021,1,0
Crystal Structures and Properties,2025,1,0
Cuban History and Society,2008,1,0
Cultural History and Identity Formation,1993,1,1
Dam Engineering and Safety,2025,2,0
Data Visualization and Analytics,2017,1,1
Deception detection and forensic psychology,2010,1,0
demographic modeling and climate adaptation,2025,1,1
Diatoms and Algae Research,1960,1,2
Diatoms and Algae Research,1994,1,1
Diatoms and Algae Research,1998,3,28
Diatoms and Algae Research,2008,2,15
Diatoms and Algae Research,2024,1,0
Digital Radiography and Breast Imaging,2015,1,5
Distributed and Parallel Computing Systems,2021,1,1
Diverse multidisciplinary academic research,2001,2,0
Diverse Music Education Insights,1969,1,0
Diverse Scientific and Economic Studies,1988,1,0
Diverse Scientific and Economic Studies,1994,1,0
Diverse Scientific and Economic Studies,1997,1,0
Diverse Scientific and Economic Studies,1999,1,0
Diverse Scientific and Economic Studies,2005,2,0
Diverse Scientific and Economic Studies,2015,1,0
Diverse Scientific and Economic Studies,2021,1,0
Diversity and Impact of Dance,2023,1,0
Domain Adaptation and Few-Shot Learning,2022,1,29
Drilling and Well Engineering,1988,1,12
Drilling and Well Engineering,1995,1,1
Drilling and Well Engineering,2001,1,0
Drilling and Well Engineering,2006,1,4
Drilling and Well Engineering,2008,4,2
Drilling and Well Engineering,2010,1,3
Drilling and Well Engineering,2012,1,3
Drilling and Well Engineering,2013,2,41
Drilling and Well Engineering,2014,2,3
Drilling and Well Engineering,2015,4,3
Drilling and Well Engineering,2016,6,54
Drilling and Well Engineering,2017,8,26
Drilling and Well Engineering,2018,7,46
Drilling and Well Engineering,2019,14,126
Drilling and Well Engineering,2020,22,266
Drilling and Well Engineering,2021,8,49
Drilling and Well Engineering,2022,10,90
Drilling and Well Engineering,2023,15,104
Drilling and Well Engineering,2024,17,70
Drilling and Well Engineering,2025,13,14
Drilling and Well Engineering,2026,2,0
Earthquake and Disaster Impact Studies,2003,1,0
earthquake and tectonic studies,1966,1,57
earthquake and tectonic studies,1984,1,15
earthquake and tectonic studies,1985,2,3
earthquake and tectonic studies,1987,1,39
earthquake and tectonic studies,1989,1,20
earthquake and tectonic studies,1990,3,270
earthquake and tectonic studies,1991,2,3
earthquake and tectonic studies,1992,1,7
earthquake and tectonic studies,1995,2,80
earthquake and tectonic studies,1996,1,12
earthquake and tectonic studies,1997,3,195
earthquake and tectonic studies,1998,1,245
earthquake and tectonic studies,1999,1,20
earthquake and tectonic studies,2000,4,548
earthquake and tectonic studies,2001,5,294
earthquake and tectonic studies,2002,2,82
earthquake and tectonic studies,2003,7,404
earthquake and tectonic studies,2004,8,634
earthquake and tectonic studies,2005,6,357
earthquake and tectonic studies,2006,8,629
earthquake and tectonic studies,2007,6,512
earthquake and tectonic studies,2008,6,527
earthquake and tectonic studies,2009,7,327
earthquake and tectonic studies,2010,10,1334
earthquake and tectonic studies,2011,9,900
earthquake and tectonic studies,2012,7,858
earthquake and tectonic studies,2013,8,1009
earthquake and tectonic studies,2014,18,1199
earthquake and tectonic studies,2015,17,1123
earthquake and tectonic studies,2016,12,391
earthquake and tectonic studies,2017,20,1036
earthquake and tectonic studies,2018,24,632
earthquake and tectonic studies,2019,11,423
earthquake and tectonic studies,2020,8,666
earthquake and tectonic studies,2021,20,290
earthquake and tectonic studies,2022,16,253
earthquake and tectonic studies,2023,21,228
earthquake and tectonic studies,2024,13,101
earthquake and tectonic studies,2025,15,34
earthquake and tectonic studies,2026,2,0
Earthquake Detection and Analysis,2004,1,0
Earthquake Detection and Analysis,2024,1,12
Echinoderm biology and ecology,2019,1,6
Echinoderm biology and ecology,2021,1,0
Ecology and Vegetation Dynamics Studies,2014,1,2
Economic and Industrial Development,2010,1,0
Economic Growth and Development,2022,1,0
Economic theories and models,2005,1,0
Education Methods and Practices,1969,1,0
"Education, sociology, and vocational training",1983,1,0
Educational Leadership and Practices,2008,1,0
Educational Robotics and Engineering,1988,1,0
Electrical and Electromagnetic Research,1987,1,0
Electrocatalysts for Energy Conversion,2024,1,5
Electrocatalysts for Energy Conversion,2025,1,9
Electrochemical sensors and biosensors,2016,1,1
Electrokinetic Soil Remediation Techniques,2025,1,3
Electromagnetic Launch and Propulsion Technology,2019,1,0
Electron and X-Ray Spectroscopy Techniques,2015,2,0
Endodontics and Root Canal Treatments,2005,1,27
Endodontics and Root Canal Treatments,2023,1,8
Energy Efficiency and Management,2021,1,14
Energy Load and Power Forecasting,2021,2,58
Energy Load and Power Forecasting,2022,1,32
"Energy, Environment, and Transportation Policies",2006,1,15
"Energy, Environment, and Transportation Policies",2025,2,15
"Energy, Environment, Economic Growth",2022,1,0
Engineering and Information Technology,2015,2,0
Engineering Diagnostics and Reliability,2003,1,1
Engineering Structural Analysis Methods,2019,1,0
Engineering Technology and Methodologies,2023,1,0
Enhanced Oil Recovery Techniques,2011,1,9
Enhanced Oil Recovery Techniques,2013,1,4
Enhanced Oil Recovery Techniques,2014,1,1
Enhanced Oil Recovery Techniques,2016,2,13
Enhanced Oil Recovery Techniques,2017,2,3
Enhanced Oil Recovery Techniques,2019,2,52
Enhanced Oil Recovery Techniques,2020,4,72
Enhanced Oil Recovery Techniques,2021,4,65
Enhanced Oil Recovery Techniques,2022,8,134
Enhanced Oil Recovery Techniques,2023,10,96
Enhanced Oil Recovery Techniques,2024,9,79
Enhanced Oil Recovery Techniques,2025,11,27
Enhanced Oil Recovery Techniques,2026,6,0
Environmental and Biological Research in Conflict Zones,1966,2,41
Environmental and Biological Research in Conflict Zones,2010,1,14
Environmental and Industrial Safety,1990,1,0
Environmental Chemistry and Analysis,2024,1,0
Environmental DNA in Biodiversity Studies,2024,1,4
Environmental DNA in Biodiversity Studies,2025,1,1
Environmental DNA in Biodiversity Studies,2026,1,0
Environmental Education and Sustainability,2013,1,35
Environmental Impact and Sustainability,2009,1,5
Environmental Monitoring and Data Management,2015,2,0
Environmental Monitoring and Data Management,2025,1,0
Environmental Science and Water Management,1992,1,0
Environmental Science and Water Management,1999,1,16
Enzyme Structure and Function,1989,1,0
Essential Oils and Antimicrobial Activity,2021,1,110
Evaluation and Performance Assessment,2004,1,0
Evolution and Paleontology Studies,1964,1,1
Evolution and Paleontology Studies,1980,1,19
Evolution and Paleontology Studies,1984,1,21
Evolution and Paleontology Studies,1985,1,1
Evolution and Paleontology Studies,1987,1,8
Evolution and Paleontology Studies,1993,1,14
Evolution and Paleontology Studies,1997,2,296
Evolution and Paleontology Studies,1998,1,49
Evolution and Paleontology Studies,1999,3,35
Evolution and Paleontology Studies,2002,1,10
Evolution and Paleontology Studies,2003,1,70
Evolution and Paleontology Studies,2005,6,62
Evolution and Paleontology Studies,2006,3,34
Evolution and Paleontology Studies,2007,2,3
Evolution and Paleontology Studies,2008,2,21
Evolution and Paleontology Studies,2009,3,52
Evolution and Paleontology Studies,2010,2,4
Evolution and Paleontology Studies,2011,1,7
Evolution and Paleontology Studies,2014,4,119
Evolution and Paleontology Studies,2015,1,19
Evolution and Paleontology Studies,2016,3,109
Evolution and Paleontology Studies,2017,1,0
Evolution and Paleontology Studies,2018,2,187
Evolution and Paleontology Studies,2019,3,11
Evolution and Paleontology Studies,2020,2,7
Evolution and Paleontology Studies,2021,1,3
Evolution and Paleontology Studies,2022,1,100
Evolution and Paleontology Studies,2023,3,2
Evolution and Paleontology Studies,2024,1,0
Evolution and Paleontology Studies,2025,3,7
Extraction and Separation Processes,2018,1,46
Extraction and Separation Processes,2025,1,0
Facial Trauma and Fracture Management,2024,1,11
Fault Detection and Control Systems,2010,1,1
Fecal contamination and water quality,2020,2,8
Fermentation and Sensory Analysis,2005,1,50
Fern and Epiphyte Biology,2012,1,0
Fern and Epiphyte Biology,2021,1,10
Fern and Epiphyte Biology,2023,1,6
Fire effects on ecosystems,2021,1,1
Fiscal Policy and Economic Growth,2022,1,0
Fish Biology and Ecology Studies,1984,1,2
Fish Biology and Ecology Studies,1991,1,18
Fish Biology and Ecology Studies,2022,2,0
"Fish biology, ecology, and behavior",2008,1,2
Fish Ecology and Management Studies,1984,1,2
Fish Ecology and Management Studies,2025,1,0
Flexible and Reconfigurable Manufacturing Systems,1986,1,75
Flood Risk Assessment and Management,2017,1,33
Flood Risk Assessment and Management,2018,1,0
Flood Risk Assessment and Management,2020,2,1
Flood Risk Assessment and Management,2022,3,93
Flood Risk Assessment and Management,2023,3,95
Flood Risk Assessment and Management,2024,1,17
Flood Risk Assessment and Management,2025,1,0
Flow Measurement and Analysis,2016,1,0
Flow Measurement and Analysis,2019,1,5
Fluid Dynamics and Mixing,2020,1,15
Fluoride Effects and Removal,2019,1,1
Fluoride Effects and Removal,2020,1,0
Fluoride Effects and Removal,2023,1,76
Food Supply Chain Traceability,1975,1,0
Forensic and Genetic Research,2020,1,0
Forensic Anthropology and Bioarchaeology Studies,2018,1,186
Forensic Anthropology and Bioarchaeology Studies,2020,1,0
Forensic Anthropology and Bioarchaeology Studies,2025,1,0
Forensic Fingerprint Detection Methods,2020,1,2
Forest Ecology and Biodiversity Studies,2015,1,3
"Forest, Soil, and Plant Ecology in China",2017,1,0
Fossil Insects in Amber,2026,1,0
Freezing and Crystallization Processes,1967,1,4
French Historical and Cultural Studies,1975,1,0
French Historical and Cultural Studies,1985,1,0
French Language Learning Methods,1983,1,0
French Language Learning Methods,2001,2,0
Fuel Cells and Related Materials,2024,1,5
Fungal Infections and Studies,1975,1,99
Game Theory and Applications,2005,1,0
Gamma-ray bursts and supernovae,2015,2,0
Gas Dynamics and Kinetic Theory,2022,1,0
Gender Diversity and Inequality,1989,1,18
